City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Sisimiut,GL,2023-03-22 06:54:31,66.9395,-53.6735,4.06,89,42,7.43
171,Russell,US,2023-03-22 06:54:32,32.3502,-85.1999,52.83,87,0,0.0
172,Avarua,CK,2023-03-22 06:54:32,-21.2078,-159.775,80.65,89,20,3.44
173,Kismayo,SO,2023-03-22 06:51:56,-0.3582,42.5454,85.23,67,94,12.8
174,Cidreira,BR,2023-03-22 06:54:33,-30.1811,-50.2056,73.54,80,100,8.75
175,Nantucket,US,2023-03-22 06:54:34,41.2835,-70.0995,42.94,90,0,8.05
176,Yaan,NG,2023-03-22 06:54:34,7.3833,8.5667,74.75,81,100,1.57
177,Chernyshevskiy,RU,2023-03-22 06:54:35,63.0128,112.4714,13.39,86,100,11.79
178,Tapalpa,MX,2023-03-22 06:54:35,19.95,-103.7667,52.56,63,0,1.3
179,Poso,ID,2023-03-22 06:55:36,-1.3959,120.7524,85.06,67,100,5.37
180,Bethel,US,2023-03-22 06:54:57,41.3712,-73.414,47.62,52,0,0.0
181,Faanui,PF,2023-03-22 06:55:36,-16.4833,-151.75,82.87,75,12,13.71
182,Izhma,RU,2023-03-22 06:55:37,65.0083,53.9113,21.85,90,100,8.48
183,Opuwo,NA,2023-03-22 06:55:38,-18.0607,13.84,75.24,37,5,4.45
184,Chiredzi,ZW,2023-03-22 06:55:39,-21.05,31.6667,73.38,78,0,0.0
185,Necochea,AR,2023-03-22 06:55:39,-38.5473,-58.7368,59.29,75,100,8.75
186,Honningsvag,NO,2023-03-22 06:55:39,70.9821,25.9704,20.95,68,75,14.97
187,Nguruka,TZ,2023-03-22 06:55:40,-5.1092,31.0419,66.79,89,100,4.61
188,Fujin,CN,2023-03-22 06:55:40,47.26,132.0322,49.32,70,100,12.84
189,Geraldton,AU,2023-03-22 06:55:40,-28.7667,114.6,82.81,61,100,11.5
190,Gerash,IR,2023-03-22 06:55:41,27.6652,54.1371,59.14,31,0,14.47
191,Sioux Lookout,CA,2023-03-22 06:55:41,50.1001,-91.917,19.47,49,100,6.91
192,Petropavlovsk-Kamchatskiy,RU,2023-03-22 06:55:41,53.0452,158.6483,41.59,56,20,6.71
193,Kudahuvadhoo,MV,2023-03-22 06:55:42,2.6708,72.8944,80.29,80,100,10.67
194,Sheffield,GB,2023-03-22 06:55:43,53.383,-1.4659,52.21,77,100,5.01
195,Brumado,BR,2023-03-22 06:51:23,-14.2036,-41.6653,67.23,97,56,2.42
196,Sabang,ID,2023-03-22 06:55:43,5.8933,95.3214,82.35,73,21,3.42
197,Huamachuco,PE,2023-03-22 06:55:43,-7.8,-78.0667,47.17,80,100,5.28
198,Hamilton,US,2023-03-22 06:53:03,39.1834,-84.5333,47.03,81,100,6.91
199,Ordu,TR,2023-03-22 06:55:44,40.9086,37.6845,36.1,66,2,2.55
200,Aklavik,CA,2023-03-22 06:55:44,68.2191,-135.0107,4.23,97,17,4.36
201,Dikson,RU,2023-03-22 06:55:44,73.5069,80.5464,-1.79,93,100,16.71
202,Bria,CF,2023-03-22 06:55:45,6.5423,21.9863,81.63,54,22,4.14
203,Iqaluit,CA,2023-03-22 06:55:45,63.7506,-68.5145,-14.31,75,0,5.75
204,Bela,IN,2023-03-22 06:55:46,25.9333,81.9833,85.5,31,0,10.4
205,Papayal,PE,2023-03-22 06:55:46,-4.0761,-80.7361,74.44,91,100,2.62
206,Nioki,CD,2023-03-22 06:55:46,-2.7167,17.6833,77.4,73,22,2.13
207,Umea,SE,2023-03-22 06:55:47,63.8284,20.2597,25.92,80,0,3.44
208,Dukat,RU,2023-03-22 06:55:47,62.55,155.55,-13.81,96,100,3.53
209,Isabela,PH,2023-03-22 06:55:47,6.7085,121.9711,89.65,68,28,3.2
