City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
490,Tubuala,PA,9.5167,-79.0333,79.32,78,72,11.63,light rain
491,Collierville,US,35.042,-89.6645,59.81,100,75,8.05,broken clouds
492,Kitimat,CA,54.0524,-128.6534,41.38,95,99,3.2,overcast clouds
493,Ayacucho,PE,-13.1583,-74.2239,56.35,87,97,2.15,overcast clouds
494,Ketchikan,US,55.3422,-131.6461,40.98,81,75,6.91,light rain
495,Sabang,ID,5.8933,95.3214,82.0,73,72,9.4,broken clouds
496,Balestrand,NO,61.2076,6.5334,37.4,98,100,2.95,overcast clouds
497,Vallenar,CL,-28.5708,-70.7581,65.93,77,0,2.64,clear sky
498,Codrington,AU,-38.2667,141.9667,62.65,62,98,13.22,overcast clouds
499,Jerantut,MY,3.936,102.3626,88.88,64,100,0.11,overcast clouds
500,Marawi,PH,7.9986,124.2928,81.46,67,48,7.58,scattered clouds
501,Astana,KZ,51.1801,71.446,31.95,93,75,4.47,fog
502,Mayya,RU,61.7333,130.2811,16.92,90,100,9.71,light snow
503,Bamnet Narong,TH,15.4992,101.6897,99.86,27,6,12.46,light rain
504,Vuktyl,RU,63.8567,57.3094,19.6,93,93,2.57,overcast clouds
505,Totoro,CO,2.512,-76.4012,51.06,96,99,1.74,overcast clouds
506,Shambu,ET,9.5667,37.1,62.8,24,12,0.87,few clouds
507,Adiake,CI,5.2863,-3.304,78.89,88,95,4.68,overcast clouds
508,Skeldon,GY,5.8833,-57.1333,73.76,89,29,5.41,scattered clouds
509,San Patricio,US,28.017,-97.5169,75.06,72,1,4.23,clear sky
510,Fujin,CN,47.26,132.0322,36.41,26,2,10.16,clear sky
511,Dali,CN,25.7,100.1833,68.5,29,2,7.49,clear sky
512,Clyde River,CA,70.4692,-68.5914,-25.37,75,0,3.44,clear sky
513,Charlottetown,CA,46.2352,-63.1267,28.69,95,100,12.66,overcast clouds
514,Gorom-Gorom,BF,14.4439,-0.2361,74.79,12,14,8.61,few clouds
515,Dubrovytsya,UA,51.5744,26.565,50.83,97,100,8.72,moderate rain
516,Nioaque,BR,-21.1353,-55.83,74.25,85,98,2.95,overcast clouds
517,Storforshei,NO,66.4043,14.5233,-4.22,84,15,1.14,few clouds
518,Baruun-Urt,MN,46.6806,113.2792,28.92,25,7,7.16,clear sky
519,Tungor,RU,53.3808,142.9564,23.52,74,31,16.67,scattered clouds
520,Mogadishu,SO,2.0371,45.3438,76.87,94,75,5.75,moderate rain
521,Ohara,JP,35.25,140.3833,53.31,89,100,21.25,light rain
522,Gizo,SB,-8.103,156.8419,83.82,72,92,7.76,light rain
523,Agadez,NE,19.75,10.25,63.09,28,69,13.53,broken clouds
524,Atar,MR,20.5169,-13.0499,75.29,28,33,8.95,scattered clouds
525,Tabas,IR,33.5959,56.9244,64.11,36,67,0.83,broken clouds
526,Zhigansk,RU,66.7697,123.3711,20.14,78,46,12.33,scattered clouds
527,Siniscola,IT,40.5719,9.6922,56.75,72,50,8.97,scattered clouds
528,Kpandae,GH,8.4689,-0.0113,79.09,72,98,10.27,overcast clouds
529,Sabla,NG,12.7525,4.7077,77.14,9,81,6.49,broken clouds
